coeff_A,coeff_B,Interaction,Correlation,FACET Metric,Metric Type,Metric Value,x_val
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(A,B)",0.04464407980868472,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(B,A)",0.0007143383390165095,0.0
0.5,4.0,0.0,0.2,Synergy,Symmetric,0.005622831110807951,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(A,B)",0.027703223473514484,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(B,A)",0.02916127150262934,0.0
0.5,4.0,0.0,0.2,Redundancy,Symmetric,0.029004985707670614,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(A,B)",0.0323438108845366,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(B,A)",0.0006615646938078388,0.0
0.5,4.0,0.0,0.2,Synergy,Symmetric,0.0046164004833062116,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(A,B)",0.02452197592304629,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(B,A)",0.02539307003440439,0.0
0.5,4.0,0.0,0.2,Redundancy,Symmetric,0.02528437593182027,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(A,B)",0.04642271902740056,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(B,A)",0.0007954586091970832,0.0
0.5,4.0,0.0,0.2,Synergy,Symmetric,0.006057984284171626,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(A,B)",0.011700727768603971,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(B,A)",0.012316420263279006,0.0
0.5,4.0,0.0,0.2,Redundancy,Symmetric,0.012243977699781205,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(A,B)",0.04034581751517161,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(B,A)",0.0007669640977339784,0.0
0.5,4.0,0.0,0.2,Synergy,Symmetric,0.005548172789227103,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(A,B)",0.020088640393938647,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(B,A)",0.020989916891634833,0.0
0.5,4.0,0.0,0.2,Redundancy,Symmetric,0.020879159166722366,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(A,B)",0.04944607370906575,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(B,A)",0.0008792559210011121,0.0
0.5,4.0,0.0,0.2,Synergy,Symmetric,0.00658137225872138,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(A,B)",0.012772058294710975,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(B,A)",0.013413546650236124,0.0
0.5,4.0,0.0,0.2,Redundancy,Symmetric,0.013338307868392931,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(A,B)",0.04878184334110261,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(B,A)",0.0008805655560914138,0.0
0.5,4.0,0.0,0.2,Synergy,Symmetric,0.006542585493654751,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(A,B)",0.013538900722752488,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(B,A)",0.014244534101723452,0.0
0.5,4.0,0.0,0.2,Redundancy,Symmetric,0.014161540882676286,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(A,B)",0.04457825491935665,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(B,A)",0.001004809966791603,0.0
